DRUG,EXCIPIENT,SOURCE,PROBABILITY
Sorafenib,Glycocholic_acid,GRAS_IIG,0.892
Fulvestrant,Glycocholic_acid,GRAS_IIG,0.882
Fulvestrant,Vitamin_A_palmitate,GRAS_IIG,0.852
Fulvestrant,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.824
Sorafenib,Taurocholic_acid,GRAS_IIG,0.81
Sorafenib,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.792
Fulvestrant,Taurocholic_acid,GRAS_IIG,0.79
Nelfinavir,Carbamazepine,APPROVED_DRUGBANK,0.776
Sorafenib,Cholic Acid,APPROVED_DRUGBANK,0.774
Sorafenib,Cholic_acid,GRAS_IIG,0.774
Fulvestrant,Cholic Acid,APPROVED_DRUGBANK,0.764
Fulvestrant,Cholic_acid,GRAS_IIG,0.764
Nelfinavir,CAPTAN,GRAS_IIG,0.76
Sorafenib,Indomethacin,APPROVED_DRUGBANK,0.76
Lumefantrine,Indomethacin,APPROVED_DRUGBANK,0.756
Nelfinavir,Risperidone,APPROVED_DRUGBANK,0.754
Clofazimine,Indomethacin,APPROVED_DRUGBANK,0.742
Nelfinavir,Desipramine,APPROVED_DRUGBANK,0.742
Lumefantrine,Glycocholic_acid,GRAS_IIG,0.74
Lumefantrine,Vitamin_A_palmitate,GRAS_IIG,0.74
Fulvestrant,Carotene_(beta-carotene),GRAS_IIG,0.726
Fulvestrant,Deoxycholic Acid,APPROVED_DRUGBANK,0.726
Fulvestrant,Desoxycholic_acid,GRAS_IIG,0.726
Nelfinavir,Piroxicam,APPROVED_DRUGBANK,0.726
Nelfinavir,Prednisone,APPROVED_DRUGBANK,0.726
Econazole,Budesonide,APPROVED_DRUGBANK,0.724
Nelfinavir,Labetalol,APPROVED_DRUGBANK,0.724
Sirolimus,Vitamin_A_palmitate,GRAS_IIG,0.724
Atovaquone,Vitamin_A_palmitate,GRAS_IIG,0.722
Nelfinavir,L-Lysine,APPROVED_DRUGBANK,0.722
Nelfinavir,LYSINE,GRAS_IIG,0.722
Nelfinavir,NEOTAME,GRAS_IIG,0.722
Etravirine,Indomethacin,APPROVED_DRUGBANK,0.72
Lumefantrine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.714
Nelfinavir,Tenofovir alafenamide,APPROVED_DRUGBANK,0.714
Regorafenib,Glycocholic_acid,GRAS_IIG,0.714
Nelfinavir,Fluconazole,APPROVED_DRUGBANK,0.712
Nelfinavir,LYSINE_ACETATE,GRAS_IIG,0.702
Nelfinavir,LYSINE_MONOHYDRATE,GRAS_IIG,0.702
Nelfinavir,TRIACETIN,GRAS_IIG,0.7
Sorafenib,Deoxycholic Acid,APPROVED_DRUGBANK,0.7
Sorafenib,Desoxycholic_acid,GRAS_IIG,0.7
Fulvestrant,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.698
Fulvestrant,Vitamin_A_acetate,GRAS_IIG,0.698
Atovaquone,Risperidone,APPROVED_DRUGBANK,0.696
Nelfinavir,Hydrochlorothiazide,APPROVED_DRUGBANK,0.694
Sorafenib,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.694
Econazole,Tenofovir alafenamide,APPROVED_DRUGBANK,0.692
Rilpivirine,Vitamin_A_palmitate,GRAS_IIG,0.69
Nelfinavir,Methotrexate,APPROVED_DRUGBANK,0.686
Chlorpromazine,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.684
Atovaquone,Budesonide,APPROVED_DRUGBANK,0.678
Chlorpromazine,Glycocholic_acid,GRAS_IIG,0.678
Econazole,Mebendazole,APPROVED_DRUGBANK,0.672
Nelfinavir,L-Proline,APPROVED_DRUGBANK,0.672
Nelfinavir,PROLINE,GRAS_IIG,0.672
Econazole,NEOTAME,GRAS_IIG,0.666
Atovaquone,DIBUTYL_PHTHALATE_**See_CDER_Guidance:_Limiting_the_Use_of_Certain_Phthalates_as_Excipients_in_CDER-Regulated_Products,GRAS_IIG,0.664
Rilpivirine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.662
Fulvestrant,Alitretinoin,APPROVED_DRUGBANK,0.658
Fulvestrant,Isotretinoin,APPROVED_DRUGBANK,0.658
Fulvestrant,Tretinoin,APPROVED_DRUGBANK,0.658
Fulvestrant,Vitamin A,APPROVED_DRUGBANK,0.658
Fulvestrant,Vitamin_A,GRAS_IIG,0.658
Rilpivirine,Dexketoprofen,APPROVED_DRUGBANK,0.648
Rilpivirine,Ketoprofen,APPROVED_DRUGBANK,0.648
Regorafenib,Indomethacin,APPROVED_DRUGBANK,0.646
Fulvestrant,ANETHOLE,GRAS_IIG,0.642
Regorafenib,Taurocholic_acid,GRAS_IIG,0.642
Fulvestrant,Thiodipropionic_acid,GRAS_IIG,0.64
Atovaquone,Propranolol,APPROVED_DRUGBANK,0.638
Etravirine,Budesonide,APPROVED_DRUGBANK,0.638
Atovaquone,Desipramine,APPROVED_DRUGBANK,0.636
Nelfinavir,Memantine,APPROVED_DRUGBANK,0.636
Econazole,Omeprazole,APPROVED_DRUGBANK,0.632
Regorafenib,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.63
Clofazimine,Mebendazole,APPROVED_DRUGBANK,0.628
Econazole,Methotrexate,APPROVED_DRUGBANK,0.626
Everolimus,Vitamin_A_palmitate,GRAS_IIG,0.626
Nelfinavir,Metoprolol,APPROVED_DRUGBANK,0.626
Temsirolimus,Vitamin_A_palmitate,GRAS_IIG,0.626
Etravirine,Carbamazepine,APPROVED_DRUGBANK,0.622
Etravirine,Carotene_(beta-carotene),GRAS_IIG,0.62
Levonordefrin,Indomethacin,APPROVED_DRUGBANK,0.616
Lumefantrine,ANETHOLE,GRAS_IIG,0.612
Atovaquone,BENZOYL_PEROXIDE,GRAS_IIG,0.606
Atovaquone,Benzoyl peroxide,APPROVED_DRUGBANK,0.606
Probucol,Indomethacin,APPROVED_DRUGBANK,0.606
Econazole,LEVOMENTHOL,GRAS_IIG,0.604
Econazole,"MENTHOL,_UNSPECIFIED_FORM",GRAS_IIG,0.604
Econazole,Menthol,APPROVED_DRUGBANK,0.604
Ammonium lactate,Indomethacin,APPROVED_DRUGBANK,0.596
Etoricoxib,Indomethacin,APPROVED_DRUGBANK,0.594
Ammonia N-13,Indomethacin,APPROVED_DRUGBANK,0.592
Celecoxib,Indomethacin,APPROVED_DRUGBANK,0.59
Ferric pyrophosphate,Indomethacin,APPROVED_DRUGBANK,0.59
Aluminum hydroxide,Indomethacin,APPROVED_DRUGBANK,0.588
Fenofibrate,Indomethacin,APPROVED_DRUGBANK,0.588
Iron,Indomethacin,APPROVED_DRUGBANK,0.588
Lithium,Indomethacin,APPROVED_DRUGBANK,0.588
Manganese,Indomethacin,APPROVED_DRUGBANK,0.588
Prochlorperazine,Glycocholic_acid,GRAS_IIG,0.588
Sodium acetate,Indomethacin,APPROVED_DRUGBANK,0.588
Sodium fluoride,Indomethacin,APPROVED_DRUGBANK,0.588
Technetium Tc-99m sestamibi,Indomethacin,APPROVED_DRUGBANK,0.588
Zinc,Indomethacin,APPROVED_DRUGBANK,0.588
Copper,Indomethacin,APPROVED_DRUGBANK,0.586
Dipotassium phosphate,Indomethacin,APPROVED_DRUGBANK,0.586
Disodium phosphate,Indomethacin,APPROVED_DRUGBANK,0.586
Equilin,Vitamin_A_palmitate,GRAS_IIG,0.586
Nelfinavir,Esmolol,APPROVED_DRUGBANK,0.586
Potassium Iodide,Indomethacin,APPROVED_DRUGBANK,0.586
Prussian blue,Indomethacin,APPROVED_DRUGBANK,0.586
Sorafenib,Glycerin_and_Glycerides,GRAS_IIG,0.586
Xenon-133,Indomethacin,APPROVED_DRUGBANK,0.586
Clomipramine,Glycocholic_acid,GRAS_IIG,0.584
Helium,Indomethacin,APPROVED_DRUGBANK,0.584
Sodium Iodide I-131,Indomethacin,APPROVED_DRUGBANK,0.584
Technetium Tc 99m Oxidronate,Indomethacin,APPROVED_DRUGBANK,0.584
Technetium Tc-99m sodium pertechnetate,Indomethacin,APPROVED_DRUGBANK,0.584
Vismodegib,Indomethacin,APPROVED_DRUGBANK,0.584
Aluminium,Indomethacin,APPROVED_DRUGBANK,0.582
Docosanol,Indomethacin,APPROVED_DRUGBANK,0.582
Estrone,Vitamin_A_palmitate,GRAS_IIG,0.582
Gallium nitrate,Indomethacin,APPROVED_DRUGBANK,0.582
Lindane,Indomethacin,APPROVED_DRUGBANK,0.582
Monopotassium phosphate,Indomethacin,APPROVED_DRUGBANK,0.582
