Evaluation,Stage,Method,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,A0,A0_no_imbalance,0.2,0.362,0.0786,0.4018,0.07,0.3439,0.0702,0.9035,0.0162,0.4989,0.1189,0.8655,0.0648,0.4409,0.1058
CV,A0,A0_no_imbalance,0.5,0.3168,0.1549,0.2754,0.1415,0.6667,0.3216,0.9396,0.0104,0.1833,0.1052,0.8655,0.0648,0.4409,0.1058
CV,B1,B1_class_weight,0.2,0.3572,0.0975,0.3962,0.0835,0.3373,0.0739,0.9021,0.0184,0.4989,0.1585,0.8704,0.0552,0.4378,0.0871
CV,B1,B1_class_weight,0.5,0.2886,0.1789,0.2335,0.164,0.6667,0.3909,0.941,0.0082,0.1511,0.1192,0.8704,0.0552,0.4378,0.0871
CV,B2,B2_random_oversampling,0.2,0.3867,0.1014,0.41,0.0891,0.306,0.0816,0.8757,0.033,0.65,0.1596,0.8671,0.0671,0.4354,0.0956
CV,B2,B2_random_oversampling,0.5,0.2416,0.1099,0.263,0.1211,0.3654,0.0973,0.925,0.0079,0.2233,0.1359,0.8671,0.0671,0.4354,0.0956
CV,B3,B3_smote,0.2,0.4041,0.0775,0.4243,0.0691,0.317,0.0677,0.8799,0.0287,0.6711,0.144,0.8763,0.0598,0.4415,0.1113
CV,B3,B3_smote,0.5,0.3139,0.1451,0.3118,0.1478,0.5195,0.1704,0.9354,0.0135,0.2356,0.1329,0.8763,0.0598,0.4415,0.1113
CV,B4,B4_threshold_tuning_only,0.05,0.3218,0.0625,0.3083,0.0487,0.1894,0.0345,0.7458,0.0541,0.8522,0.1139,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.1,0.3876,0.0553,0.3979,0.052,0.2796,0.0547,0.8542,0.0342,0.7256,0.1197,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.15,0.401,0.0521,0.4286,0.0466,0.3369,0.0643,0.8917,0.0213,0.6178,0.1119,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.2,0.362,0.0786,0.4018,0.07,0.3439,0.0702,0.9035,0.0162,0.4989,0.1189,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.25,0.3493,0.0674,0.3875,0.0641,0.3842,0.0918,0.9153,0.0153,0.4144,0.1022,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.3,0.2952,0.1094,0.3289,0.1076,0.3798,0.128,0.9194,0.0174,0.3089,0.1156,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.35,0.2888,0.111,0.3149,0.1121,0.4048,0.1145,0.9271,0.01,0.2667,0.1154,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.4,0.305,0.1593,0.3117,0.1506,0.4867,0.2071,0.934,0.0132,0.2356,0.1243,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.45,0.3292,0.1516,0.307,0.1368,0.615,0.2769,0.9382,0.0124,0.2133,0.1003,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.5,0.3168,0.1549,0.2754,0.1415,0.6667,0.3216,0.9396,0.0104,0.1833,0.1052,0.8655,0.0648,0.4409,0.1058
CV,B4,B4_threshold_tuning_only,0.55,0.2848,0.1762,0.2345,0.1533,0.6417,0.3929,0.9403,0.0082,0.1511,0.1071,0.8655,0.0648,0.4409,0.1058
