Evaluation,RepresentationStage,Representation,ImbalanceStage,ImbalanceMethod,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.05,0.3283,0.0851,0.3289,0.0717,0.2114,0.0567,0.7875,0.0492,0.7767,0.1397,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.1,0.3649,0.091,0.393,0.0812,0.3006,0.0868,0.8743,0.0346,0.6078,0.1393,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.15,0.3908,0.0817,0.4272,0.0733,0.3819,0.0954,0.909,0.0239,0.5122,0.116,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.2,0.365,0.0835,0.3995,0.0724,0.4306,0.1333,0.9208,0.0215,0.3944,0.0754,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.25,0.3441,0.1188,0.3689,0.1109,0.4622,0.1645,0.9292,0.0142,0.32,0.1037,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.3,0.3189,0.1394,0.3329,0.132,0.4733,0.1888,0.9319,0.0134,0.2678,0.1159,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.35,0.3167,0.1509,0.3282,0.1387,0.4833,0.2108,0.9326,0.0143,0.2567,0.1142,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.4,0.3182,0.1368,0.3177,0.1333,0.5217,0.1783,0.9361,0.0102,0.2356,0.1103,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.45,0.3256,0.1111,0.306,0.1137,0.6,0.2071,0.9382,0.0089,0.2156,0.0942,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.5,0.2921,0.1429,0.2641,0.1363,0.575,0.3003,0.9382,0.0076,0.1822,0.1061,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.55,0.2369,0.1549,0.1974,0.1392,0.5583,0.381,0.9368,0.0076,0.13,0.103,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.6,0.1295,0.1563,0.1156,0.1336,0.3,0.3583,0.934,0.0059,0.0756,0.0907,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.65,0.0858,0.1271,0.0715,0.0928,0.2333,0.3443,0.9333,0.0059,0.0433,0.056,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.7,0.0665,0.1194,0.0533,0.0864,0.1833,0.3375,0.934,0.0059,0.0322,0.052,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.75,0.0278,0.1045,0.02,0.0632,0.1,0.3162,0.934,0.0067,0.0111,0.0351,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8807,0.0657,0.4313,0.0908
