Evaluation,FeatureSetup,Purpose,RepresentationStage,Representation,ImbalanceStage,ClassBalance,Model,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.05,0.3195,0.0546,0.3145,0.0417,0.1979,0.0344,0.7701,0.0443,0.8011,0.1401,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.1,0.3492,0.0921,0.3685,0.0762,0.2623,0.0658,0.85,0.0409,0.6611,0.1791,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.15,0.3784,0.0971,0.4096,0.0856,0.3333,0.1089,0.8889,0.0314,0.5756,0.1392,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.2,0.3564,0.0991,0.3947,0.0865,0.3626,0.1346,0.9042,0.0251,0.4689,0.1191,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.25,0.3368,0.0619,0.3753,0.0531,0.3891,0.1109,0.9153,0.0185,0.3844,0.0618,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.3,0.3649,0.0852,0.3957,0.0791,0.4553,0.1188,0.9271,0.0161,0.3633,0.0788,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.35,0.3234,0.1574,0.351,0.1442,0.4403,0.1961,0.9278,0.018,0.2978,0.1226,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.4,0.3102,0.1473,0.331,0.1369,0.4502,0.184,0.9306,0.0143,0.2656,0.1148,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.45,0.3004,0.151,0.311,0.1425,0.47,0.1884,0.9333,0.0132,0.2356,0.115,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.5,0.2813,0.1607,0.2805,0.1488,0.47,0.2531,0.9354,0.0109,0.2022,0.1077,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.55,0.2681,0.1514,0.2515,0.1452,0.5,0.2324,0.9375,0.0087,0.1711,0.1072,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.6,0.2401,0.1795,0.2135,0.1655,0.4833,0.3162,0.9382,0.0095,0.1411,0.1189,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.65,0.139,0.175,0.1192,0.1509,0.325,0.3736,0.9354,0.0081,0.0767,0.1051,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.7,0.0708,0.1281,0.0564,0.0909,0.2,0.3496,0.934,0.0059,0.0333,0.0537,0.8723,0.0544,0.3999,0.0912
CV,decision_c7_b4,thresholded_decision,C7,C7_morgan_chemberta,B4,False,ExtraTrees,0.75,0.0472,0.1202,0.0382,0.0806,0.15,0.3375,0.9333,0.0059,0.0222,0.0468,0.8723,0.0544,0.3999,0.0912
